round,player_id,contribution,total_pool,reward,governance
1,1,5,59,16.8,punishment
1,2,5,59,16.8,punishment
1,3,9,59,12.8,punishment
1,4,10,59,11.8,punishment
1,5,5,59,16.8,punishment
1,6,6,59,15.8,punishment
1,7,6,59,15.8,punishment
1,8,4,59,0.0,punishment
1,9,4,59,0.0,punishment
1,10,5,59,16.8,punishment
2,1,4,60,0.0,punishment
2,2,4,60,0.0,punishment
2,3,9,60,13.0,punishment
2,4,10,60,12.0,punishment
2,5,6,60,16.0,punishment
2,6,6,60,16.0,punishment
2,7,5,60,17.0,punishment
2,8,6,60,16.0,punishment
2,9,6,60,16.0,punishment
2,10,4,60,0.0,punishment
3,1,4,64,0.0,punishment
3,2,4,64,0.0,punishment
3,3,10,64,12.8,punishment
3,4,10,64,12.8,punishment
3,5,5,64,0.0,punishment
3,6,7,64,15.8,punishment
3,7,7,64,15.8,punishment
3,8,7,64,15.8,punishment
3,9,5,64,0.0,punishment
3,10,5,64,0.0,punishment
4,1,5,66,0.0,punishment
4,2,5,66,0.0,punishment
4,3,10,66,13.2,punishment
4,4,10,66,13.2,punishment
4,5,5,66,0.0,punishment
4,6,7,66,16.2,punishment
4,7,7,66,16.2,punishment
4,8,5,66,0.0,punishment
4,9,5,66,0.0,punishment
4,10,7,66,16.2,punishment
5,1,5,63,0.0,punishment
5,2,5,63,0.0,punishment
5,3,10,63,12.6,punishment
5,4,10,63,12.6,punishment
5,5,6,63,16.6,punishment
5,6,5,63,0.0,punishment
5,7,6,63,16.6,punishment
5,8,5,63,0.0,punishment
5,9,5,63,0.0,punishment
5,10,6,63,16.6,punishment
6,1,5,65,0.0,punishment
6,2,5,65,0.0,punishment
6,3,10,65,13.0,punishment
6,4,10,65,13.0,punishment
6,5,7,65,16.0,punishment
6,6,5,65,0.0,punishment
6,7,7,65,16.0,punishment
6,8,6,65,17.0,punishment
6,9,5,65,0.0,punishment
6,10,5,65,0.0,punishment
7,1,5,66,0.0,punishment
7,2,5,66,0.0,punishment
7,3,10,66,13.2,punishment
7,4,9,66,14.2,punishment
7,5,5,66,0.0,punishment
7,6,5,66,0.0,punishment
7,7,7,66,16.2,punishment
7,8,7,66,16.2,punishment
7,9,6,66,17.2,punishment
7,10,7,66,16.2,punishment
8,1,5,66,0.0,punishment
8,2,5,66,0.0,punishment
8,3,9,66,14.2,punishment
8,4,9,66,14.2,punishment
8,5,7,66,16.2,punishment
8,6,6,66,17.2,punishment
8,7,7,66,16.2,punishment
8,8,7,66,16.2,punishment
8,9,6,66,17.2,punishment
8,10,5,66,0.0,punishment
9,1,5,65,0.0,punishment
9,2,5,65,0.0,punishment
9,3,9,65,14.0,punishment
9,4,10,65,13.0,punishment
9,5,6,65,17.0,punishment
9,6,7,65,16.0,punishment
9,7,6,65,17.0,punishment
9,8,7,65,16.0,punishment
9,9,5,65,0.0,punishment
9,10,5,65,0.0,punishment
10,1,5,64,0.0,punishment
10,2,5,64,0.0,punishment
10,3,10,64,12.8,punishment
10,4,9,64,13.8,punishment
10,5,6,64,16.8,punishment
10,6,6,64,16.8,punishment
10,7,6,64,16.8,punishment
10,8,7,64,15.8,punishment
10,9,5,64,0.0,punishment
10,10,5,64,0.0,punishment
